"Variable","Description","records","plots","geographic.areas","biome.differences","age.trend","variable.diagram"
"$NEP$","net ecosystem production or net ecosystem exchange (+ indicates C sink)",368,169,91,"n.s.","+; xB","NEP"
"$GPP$","gross primary production ($NPP + R_{auto}$ or $R_{eco}-NEE$)",345,143,88,"TrB > TeB $\ge$ TeN > BoN","+; xB","GPP"
"$NPP$","net primary production ($ANPP$ + $BNPP$)",296,169,74,"TrB > TeB $\ge$ TeN > BoN","n.s.","NPP"
"$ANPP$","aboveground $NPP$",522,358,135,"TrB > TeB $\ge$ TeN $\ge$ BoN","+; xB","ANPP"
"$ANPP_{woody}$","woody production ($ANPP_{stem}$ + $ANPP_{branch}$)",107,95,37,"n.s.","+; xB","ANPP_woody"
"$ANPP_{stem}$","woody stem production ",381,346,115,"TrB > TeN $\ge$ TeB > BoN","-; xB","ANPP_stem"
"$ANPP_{branch}$","branch turnover",110,93,42,"TrB > TeB $\ge$ TeN","n.s.","ANPP_branch"
"$ANPP_{foliage}$","foliage production, typically estimated as annual leaf litterfall",236,203,89,"TrB > TeB $\ge$ TeN > BoN","+","ANPP_foliage"
"$ANPP_{litterfall}$","litterfall, including leaves, reproductive structures, twigs, and sometimes branches ",138,105,54,"TrB > TeB","+","ANPP_litterfall"
"$ANPP_{repro}$","production of reproductive structures (flowers, fruits, seeds)",69,62,34,"n.s.","n.t.","ANPP_repro"
"$ANPP_{folivory}$","foliar biomass consumed by folivores",21,13,11,"n.t.","n.t.","ANPP_folivory"
"$M_{woody}$","woody mortality--i.e., $B_{ag}$ of trees that die",29,29,16,"n.t.","n.t.","woody.mortality"
"$BNPP$","belowground NPP ($BNPP_{coarse}$+ $BNPP_{fine}$)",220,187,81,"TrB > TeN $\ge$ TeB $\ge$ BoN","+","BNPP"
"$BNPP_{coarse}$","coarse root production",114,91,36,"TeN $\ge$ TrB","+","BNPP_coarse"
"$BNPP_{fine}$ ","fine root production",165,135,67,"n.s.","+","BNPP_fine"
"$R_{eco}$","ecosystem respiration ($R_{auto}$+ $R_{het}$)",253,117,75,"TrB > TeB $\ge$ TeN $\ge$ BoN","+","R_eco"
"$R_{auto}$","autotrophic respiration ($R_{auto-ag}+ R_{root}$)",25,24,15,"n.t.","n.t.","R_auto"
"$R_{auto-ag}$","aboveground autotrophic respiration (i.e., leaves and stems)",3,3,2,"n.t.","n.t.","R_auto_ag"
"$R_{root}$","root respiration",235,187,100,"n.s.","+","R_root"
"$R_{soil}$","soil respiration ($R_{het-soil} + R_{root}$)",879,605,242,"TrB > TeB $\ge$ TeN $\ge$ BoN","+; xB","R_soil"
"$R_{het-soil}$","soil heterotrophic respiration",268,217,107,"TrB > TeB $\ge$ TeN","n.s.","R_het_soil"
"$R_{het-ag}$","aboveground heterotrophic respiration",0,0,0,"-","-","R_het_ag"
"$R_{het}$","heterotrophic respiration ($R_{het-ag} +R_{het-soil}$)",0,0,0,"-","-","R_het"
"$B_{tot}$","total live biomass ($B_{ag}$+$B_{root}$)",280,236,89,"TrB > TeB > BoN","+; xB","biomass"
"$B_{ag}$","aboveground live biomass  ($B_{ag-wood}$+$B_{foliage}$)",5072,4541,624,"TrB $\ge$ TeN $\ge$ TeB > BoN","+; xB","biomass_ag"
"$B_{ag-wood}$","woody component of aboveground biomass",182,168,65,"TeN > TrB $\ge$ BoN","+; xB","biomass_ag_woody"
"$B_{foliage}$","foliage biomass ",237,194,73,"TeN > TrB $\ge$ BoN $\ge$ TeB","+; xB","biomass_foliage"
"$B_{root}$","total root biomass ($B_{root-coarse}$+$B_{root-fine}$)",2445,2410,364,"n.s.","+; xB","biomass_root"
"$B_{root-coarse}$","coarse root biomass ",198,179,74,"TeN > TeB $\ge$ BoN","+; xB","biomass_root_coarse"
"$B_{root-fine}$","fine root biomass ",315,258,110,"n.s.","n.s.","biomass_root_fine"
"$DW_{tot}$","deadwood ($DW_{standing}$+$DW_{down}$)",178,167,42,"TeB > TrB","+; xB","deadwood"
"$DW_{standing}$","standing dead wood ",59,58,23,"n.t.","n.t.","deadwood_standing"
"$DW_{down}$","fallen dead wood, including coarse and sometimes fine woody debris",283,270,37,"n.t.","+; xB","deadwood_down"
"$OL$","organic layer $/$ litter$/$ forest floor",537,472,114,"n.s.","+; xB","organic.layer"
