method.ID,method.citation,variable.name,method.category,method.notes
1,Valentini_2000_ratm,GPP,eddy flux partitioning,NEP + estimated Re
2,Valentini_2000_ratm,NEE,eddy covariance,Eddy covariance
3,Valentini_2000_ratm,Reco,NA,Ecosystem respiration based on nighttime respiration vs soil or air temperature relationship
7,Chambers_2004_rfat,GPP,NPP + Ra,NPP + direct measurements of Ra
8,Chambers_2004_rfat,NEP,NA,NPP - direct measurements of Rh
9,Chambers_2004_rfat,Reco,NA,Direct measurement of the components of Reco with chambers compared with Reco from eddy covariance
10,Giardina_2003_ppac,GPP,NPP + Ra,ANPP + BNPP (Raich & Nadelhoffer) + direct measurements of Ra
12,Gielen_2005_ncsi,NEP,NA,NPP - direct measurements of Rh
13,Gielen_2005_ncsi,Reco,NA,GPP-NEP
14,Hanson_2003_etnp,GPP,eddy flux partitioning,NEP + estimated Re
15,Hanson_2003_etnp,NEP,NA,NPP - direct measurements of Rh
16,Hanson_2003_etnp,Reco,NA,GPP-NEP
23,Kowalski_2004_pcoc,GPP,eddy flux partitioning,NEP + estimated Re
24,Kowalski_2004_pcoc,NEE,eddy covariance,Eddy covariance
25,Kowalski_2004_pcoc,Reco,NA,Ecosystem respiration based on nighttime respiration vs SWC and soil temperature relationship
27,Kutsch_2001_tcco,NEP,NA,GPP - Re
28,Kutsch_2001_tcco,Reco,NA,Direct measurement of the components of Reco with chambers
29,Lai_2002_mnte,GPP,eddy flux partitioning,NEP + estimated Re
30,Lai_2002_mnte,NEE,eddy covariance,Eddy covariance
31,Lai_2002_mnte,Reco,NA,Constrained source optimization
32,Law_1999_saar,GPP,NPP + Ra,ANPP + BNPP (Raich & Nadelhoffer) + direct measurements of Ra
33,Law_1999_saar,NEP,NA,GPP - Re
34,Law_1999_saar,Reco,NA,Direct measurement of of the components of Reco with chambers compared with Reco from eddy covariance
35,Aubinet_2001_ltcd,NEE,eddy covariance,Eddy covariance
36,Forcast,NEP,NA,NPP - direct measurements of Rh
37,Law_2001_satv,GPP,eddy flux partitioning,NEP + estimated Re
38,Law_2001_satv,NEP,NA,NPP - direct measurements of Rh
39,Law_2001_satv,Reco,NA,Direct measurement of the components of Reco with chambers
40,Lloyd_2002_saav,GPP,NA,Maximum net rate of carbon assimilation by the canopy foliage
41,Lloyd_2002_saav,NEE,eddy covariance,Eddy covariance
42,Lloyd_2002_saav,Reco,NA,GPP-NEP
43,Maier_2004_rcua,GPP,NPP + Ra,NPP + R_auto
48,Ryan_1996_ffwa,GPP,NPP + Ra,NPP + direct measurements of Ra
49,Wang_2004_ccfa,GPP,NA,"modeled based on continuous eddy flux measurements, with leaf photosynthesis described according to the model of Farquhar and von Caemmerer (1982)"
50,Wang_2004_ccfa,NEE,eddy covariance,Eddy covariance
51,Wang_2004_ccfa,Reco,NA,modeled based on continuous eddy flux measurements and site-specific functions for respiratory components
53,Williams_2005_aiao,GPP,eddy flux partitioning,NEP + estimated Re
54,Williams_2005_aiao,NEE,eddy covariance,Eddy covariance + ACM data assimilation
55,Williams_2005_aiao,Reco,NA,Direct measurement of the components of Reco with chambers + ACM data assimilation
56,Kutsch_2001_tcco,Reco,NA,Direct measurement of the components of Reco with chambers
57,Schulze_2000_tcan,Reco,NA,Direct measurement of the components of Reco with chambers compared with Reco from eddy covariance
58,Clark_2004_cdaa,Reco,NA,Direct measurement of the components of Reco with chambers
59,Sierra_2007_satv,NEP,NA,NPP - direct measurements of Rh
60,Law_2000_moga,GPP,NPP + Ra,NPP+Ra
61,Law_2000_moga,NEP,NA,NPP - direct measurements of Rh
62,Bolstad_2004_cawr,Reco,NA,Direct measurement of the components of Reco with chambers
63,Zha_2007_tacc,GPP,scaling photosynthesis measurements,scaling branch chamber measurements
64,Zha_2007_tacc,NEP,NA,GPP-Re
65,Zha_2007_tacc,Reco,NA,Direct measurement of the components of Reco with chambers
66,Harmon_2004_prao,GPP,NPP + Ra,NPP+Ra
67,Harmon_2004_prao,NEP,NA,NPP-Rh
68,Harmon_2004_prao,Reco,NA,Ra+Rh
69,Gough_2007_tloh,NEP,NA,Biometric
70,Yang_2007_srac,NEP,NA,NPP-Rh
71,Ma_2008_oamo,GPP,NA,No information.
72,Ma_2008_oamo,NEE,eddy covariance,Eddy covariance
73,Ma_2008_oamo,Reco,NA,Not mentioned
75,Hamilton_2002_fcbu,GPP,eddy flux partitioning,NEP + estimated Re + DOC
76,Hamilton_2002_fcbu,NEE,NA,"wood, foliage and fine root NPP + forest floor accumulation"
77,Hamilton_2002_fcbu,Reco,NA,"sum of C losses by total soil CO2 efflux, DIC, canopy respiration, woody respiration  and herbivory"
78,Hanson_2003_etnp,BNPP_coarse root,NA,20% of aboveground wood increment
79,Hanson_2003_etnp,BNPP_fine root,NA,"Soil cores, minirhizotrons"
80,Hanson_2003_etnp,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, herbivory, repro production as detailed in methodology source."
83,Williams_1997_pgpp; Schuur_2005_ntfm,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
85,Ryan_1996_ffwa,BNPP_fine root,NA,"Fine root biomass, turnover"
86,Ryan_1996_ffwa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
89,Mutry et al 1996,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
90,Ehman_2002_aiio,BNPP_coarse root,NA,Soil cores
91,Ehman_2002_aiio,BNPP_fine root,NA,"Soil cores, fine root turnover rate (Aber et al 1985) as function of N availability"
92,Ehman_2002_aiio,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, herbivory, repro production as detailed in methodology source."
95,Giardina_2003_ppac,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, voc, repro production as detailed in methodology source."
98,Law_1999_saar,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
101,Gower_1997_cdaa; Steele_1997_rmnp,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
102,Law_2001_satv,BNPP_coarse root,NA,25% above ground wood C
103,Law_2001_satv,BNPP_fine root,NA,"Soil cores, minirhizitrons"
104,Law_2001_satv,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
106,DeLucia_1999_nppo,BNPP_fine root,NA,"Soil cores, turnover Persson 1979"
107,DeLucia_1999_nppo,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
110,Curtis_2002_baeb,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, herbivory, repro production as detailed in methodology source."
111,Lloyd_2002_saav,BNPP_coarse root,NA,Soil cores
112,Lloyd_2002_saav,BNPP_fine root,NA,Soil cores
113,Lloyd_2002_saav,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
114,Ruess_1996_cofr,NPP,sum of components,"includes foliage, stem, fine root, branch production as detailed in methodology source."
117,Williams_2005_aiao,NPP,NA,"plus ACM data assimilation. includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source"
120,Linder_1998_nbff; IBP database,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
121,Maass_2001_ntfc,BNPP_coarse root,NA,Soil cores
122,Maass_2001_ntfc,BNPP_fine root,NA,Soil cores
123,Maass_2001_ntfc,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, herbivory production as detailed in methodology source."
124,Gower_2001_nppa,BNPP_coarse root,NA,Allometric relations
125,Gower_2001_nppa,BNPP_fine root,NA,"Soil cores, minirhizitrons"
126,Gower_2001_nppa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
129,Gower_2001_nppa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
130,Norby_2002_nppo,BNPP_coarse root,NA,Allometric relations
131,Norby_2002_nppo,BNPP_fine root,NA,"Soil cores, minirhizitrons"
132,Norby_2002_nppo,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
135,Black_2005,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
136,Yuste_2005_cnpp,BNPP_coarse root,NA,Allometric relations
137,Yuste_2005_cnpp,BNPP_fine root,NA,Soil cores
138,Yuste_2005_cnpp,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, repro production as detailed in methodology source."
139,Kutsch_2005_shoe,BNPP_coarse root,NA,Allometric relations
140,Kutsch_2005_shoe,BNPP_fine root,NA,Literature data
141,Kutsch_2005_shoe,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, repro production as detailed in methodology source."
142,Griffis_2004_svap,NPP,GPP-R_auto,"GPP-Ra. includes foliage, stem, coarse root, fine root, branch, understory, herbivory, voc, repro, leaching production as detailed in methodology source"
143,Clark_2001_nppi,ANPP_stem,NA,See methodology source.
144,Gielen_2005_ncsi,BNPP_coarse root,NA,"Soil cores, in-growth"
145,Gielen_2005_ncsi,BNPP_fine root,NA,"Soil cores, in-growth"
146,Gielen_2005_ncsi,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
147,Schulze_2000_tcan,BNPP_coarse root,NA,"Repeated soil cores, root windows"
148,Schulze_2000_tcan,BNPP_fine root,NA,"Repeated soil cores, root windows"
149,Schulze_2000_tcan,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
150,Schulze_2000_tcan,BNPP_coarse root,NA,Average from method 31
151,Schulze_2000_tcan,BNPP_fine root,NA,Average from method 31
152,Schulze_2000_tcan,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
153,Kutsch_2001_tcco,BNPP_coarse root,NA,Harvesting
154,Kutsch_2001_tcco,BNPP_fine root,NA,Mesh bag
155,Kutsch_2001_tcco,NPP,sum of components,"includes foliage, stem, coarse root, fine root production as detailed in methodology source."
156,Chambers_2004_rfat,NPP,sum of components,"includes foliage, stem, fine root, branch production as detailed in methodology source."
157,Tang_2006_sfct,BNPP_coarse root,NA,Allometric relations
158,Tang_2006_sfct,BNPP_fine root,NA,"Sequential coring, in-growth cores, minirhizotrons, Raich and Nadelhoffer approximation (1989)"
159,Tang_2006_sfct,NPP,sum of components,"includes foliage, stem, coarse root, fine root production as detailed in methodology source."
160,Forcast,BNPP_coarse root,NA,Allometric relations
161,Forcast,BNPP_fine root,NA,"Fine root biomass, turnover 1 year"
162,Forcast,NPP,sum of components,"includes foliage, stem, coarse root, fine root, understory production as detailed in methodology source."
163,Mund_2002_gacs,NPP,sum of components,"includes foliage, stem, branch production as detailed in methodology source."
164,Ohtsuka_2005_bbeo,BNPP_coarse root,NA,Harvesting
165,Ohtsuka_2005_bbeo,NPP,sum of components,"includes foliage, stem, coarse root, branch, understory production as detailed in methodology source."
166,Wirth_2002_babc,BNPP_coarse root,NA,Allometric relations
167,Wirth_2002_babc,BNPP_fine root,NA,"Fine root biomass, turnover (Finnish values)"
168,Wirth_2002_babc,NPP,sum of components,"includes foliage, stem, coarse root, branch production as detailed in methodology source."
169,Bond-Lamberty_2004_corr,BNPP_coarse root,NA,Allometric relations
170,Bond-Lamberty_2004_corr,BNPP_fine root,NA,"Soil cores, min/max method"
171,Bond-Lamberty_2004_corr,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
172,Roupsard_2006_poea,BNPP_coarse root,NA,Soil cores
173,Roupsard_2006_poea,BNPP_fine root,NA,"Sequential coring, in-growth cores, minirhizotrons"
174,Roupsard_2006_poea,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
176,Ruess_2003_cfrd,BNPP_fine root,NA,"Soil cores, minirhizotrons"
177,Ruess_2003_cfrd,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
178,Maier_2004_rcua,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source"
179,Bascietto_2003_dots,BNPP_coarse root,NA,Allometric relations
180,Bascietto_2003_dots,BNPP_fine root,NA,"Fine root biomass, turnover 1 year"
181,Bascietto_2003_dots,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
182,Bascietto_2003_dots,BNPP_coarse root,NA,Allometric relations
183,Bascietto_2003_dots,NPP,sum of components,"includes foliage, stem, coarse root, branch production as detailed in methodology source."
185,Grimm_1999_ntfs,BNPP_fine root,NA,"Soil cores, fine root biomass, turnover"
186,Grimm_1999_ntfs,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
188,Hamilton_2002_fcbu,BNPP_fine root,NA,Soil cores
189,Hamilton_2002_fcbu,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, herbivory production as detailed in methodology source."
190,Krankina_1999_nbfs;  Gower_2001_nppa,NPP,sum of components,"includes foliage, stem, branch, understory production as detailed in methodology source."
191,Gower_2001_nppa,BNPP_coarse root,NA,Allometric relations
192,Gower_2001_nppa,BNPP_fine root,NA,"Soil cores, longevity"
193,Gower_2001_nppa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
194,Gower_2001_nppa,BNPP_coarse root,NA,Allometric relations
195,Gower_2001_nppa,BNPP_fine root,NA,Sequential coring
196,Gower_2001_nppa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
197,Linder_1998_nbff,BNPP_coarse root,NA,Not clear from text
198,Linder_1998_nbff,BNPP_fine root,NA,Not clear from text
199,Linder_1998_nbff,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
200,Forcast,BNPP_coarse root,NA,Allometric relations
201,Forcast,BNPP_fine root,NA,"Fine root biomass, turnover 1 year"
202,Forcast,NPP,sum of components,"includes foliage, stem, coarse root, fine root, understory production as detailed in methodology source."
203,Pers. Commun Nikinmaa,NPP,sum of components,"includes foliage, stem, branch production as detailed in methodology source."
204,Schulze_2000_tcan,BNPP_coarse root,NA,Average from method 31
205,Schulze_2000_tcan,BNPP_fine root,NA,Average from method 31
206,Schulze_2000_tcan,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
207,Lagergren_2005_nppa,NPP,NEE+R_het,"NEE+Rh. includes foliage, stem, coarse root, fine root, branch, understory, herbivory, voc, repro, leaching production as detailed in methodology source"
210,Ollinger_2005_nppa,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
212,Sierra_2007_satv,BNPP_fine root,NA,In-growth core
213,Sierra_2007_satv,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, repro production as detailed in methodology source."
214,Pers. Commun. Goulden,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
215,Pers. Commun. Malhi,BNPP_coarse root,NA,ingrowth cores
216,Pers. Commun. Malhi,BNPP_fine root,NA,Sequential coring
217,Pers. Commun. Malhi,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
218,Pers. Commun. Bonal,ANPP_foliage_C,NA,"includes foliage, repro production as detailed in methodology source."
218.1,Pers. Commun. Bonal,ANPP_repro_C,NA,"includes foliage, repro production as detailed in methodology source."
219,Law_2004,BNPP_coarse root,NA,Allometric relations
220,Law_2004,BNPP_fine root,NA,"Fine root biomass, turnover"
221,Law_2004,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
222,Martin_2005_asri,NPP,sum of components,"includes foliage, stem production as detailed in methodology source."
223,Powell_2006_econ,NPP,sum of components,"includes foliage, stem, branch, understory production as detailed in methodology source."
225,Harmon_2004_prao,BNPP_coarse root,NA,Allometric relations
226,Harmon_2004_prao,BNPP_fine root,NA,"Soil cores, fine root biomass, turnover"
227,Harmon_2004_prao,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, herbivory, repro production as detailed in methodology source."
228,Gough_2007_tloh,BNPP_coarse root,NA,Allometric relations
229,Gough_2007_tloh,BNPP_fine root,NA,Soil cores + empirical relationship Aber et al 1985
230,Gough_2007_tloh,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, herbivory production as detailed in methodology source."
232,Ohtsuka_2005_bbeo; Ohtsuka_2009_olmb,BNPP_fine root,NA,"Soil cores, minirhizitrons"
233,Ohtsuka_2005_bbeo; Ohtsuka_2009_olmb,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
234,Yang_2007_srac,BNPP_coarse root,NA,Allometric relations
235,Yang_2007_srac,BNPP_fine root,NA,"Soil cores, turn over by decomposition in root litter bags and mortality"
236,Yang_2007_srac,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source."
237,Aragao_2009_aabn,BNPP_coarse root,NA,0.21*NPPstem (Malhi et al 2009)
238,Aragao_2009_aabn,BNPP_fine root,NA,In-growth core
239,Aragao_2009_aabn,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source. Allometric relation for aboveground biomass"
240,Fenn et al submitted (BGD),BNPP_coarse root,NA,20% of aboveground wood increment
241,Fenn et al submitted (BGD),BNPP_fine root,NA,Mass balance
242,Fenn et al submitted (BGD),NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, repro production as detailed in methodology source."
244,Ma_2008_oamo,BNPP_fine root,NA,Harvesting
245,Ma_2008_oamo,NPP,sum of components,"includes foliage, stem, coarse root, fine root, understory production as detailed in methodology source."
247,Kajimoto_2009,BNPP_fine root,NA,In-growth core
248,Kajimoto_2009,NPP,sum of components,"includes foliage, stem, fine root, branch production as detailed in methodology source."
249,Moser_2011_eeot,BNPP_coarse root,NA,Dendrometer tapes
250,Moser_2011_eeot,BNPP_fine root,NA,Minirhizotrons
251,Moser_2011_eeot,NPP,sum of components,"includes foliage, stem, coarse root, fine root, branch, understory, repro production as detailed in methodology source."
252,Williams_2005_aiao,R_auto_C,NA,foliage and stem respiration (Law et al 1999)
253,Williams_2005_aiao,R_het_soil_C,NA,Manual system for root contributions to Rs (Law et
255,Lloyd_2002_saav,R_auto_C,NA,Shibistova et al. 2002
256,Lloyd_2002_saav,R_het_soil_C,NA,Shibistova et al. 2002
257,Lloyd_2002_saav,R_soil_C,NA,Ground level eddy covariance
258,Arneth_1998_nepn,R_auto_C,NA,C-balance
259,Arneth_1998_nepn,R_het_soil_C,NA,NPP - NEP
260,Arneth_1998_nepn,R_soil_C,NA,Chamber
262,Black_2005,R_het_soil_C,NA,Trenching
263,Black_2005,R_soil_C,NA,Chamber
264,Misson_2005_iorf,R_het_soil_C,NA,Trench plot (root exclusion plot)
265,Misson_2005_iorf,R_soil_C,NA,Chamber
266,Kutsch_2005_shoe,R_auto_C,NA,C-balance
267,Wilson_2001_cieo,R_soil_C,NA,Ground level eddy covariance
269,Hamilton_2002_fcbu,R_het_soil_C,NA,calculated as total soil CO2 efflux minus fine and coarse root respiration plus the  proportion  of  DIC  attributed  to  microbes.
270,Hamilton_2002_fcbu,R_soil_C,NA,Chamber
271,Davidson_2002_bcai,R_soil_C,NA,Chamber
272,Schulze_2000_tcan,R_het_soil_C,NA,Trenched/clearcuts
273,Schulze_2000_tcan,R_soil_C,NA,Chamber + ground level eddy covariance
274,Kutsch_2001_fmor,R_auto_C,NA,foliage and stem respiration + decomposition
275,Kutsch_2001_fmor,R_het_soil_C,NA,litter + fine root turnover (C-balance)
276,Kutsch_2001_fmor,R_soil_C,NA,Chamber
277,Tang_2006_sfct,R_het_soil_C,NA,Use in-growth cores and sequential coring to estim
278,Tang_2006_sfct,R_soil_C,NA,Chamber
280,Yan_2006_eosr,R_het_soil_C,NA,Rs-Ra_roots
281,Yan_2006_eosr,R_soil_C,NA,Chamber
282,Kolari pers commun,R_soil_C,NA,Chamber measurement + soil temperature + wintertim
285,Lee_2005_tdoc,R_soil_C,NA,Chamber
286,Roupsard_2006_poea,R_het_soil_C,NA,Trenched
287,Roupsard_2006_poea,R_soil_C,NA,Chamber
288,Epron_2006_scbi,R_het_soil_C,NA,measured in gap (clearcut)
289,Epron_2006_scbi,R_soil_C,NA,Chamber
290,Maier_2000_scea,R_het_soil_C,NA,Root excised
291,Maier_2000_scea,R_soil_C,NA,Chamber
