"plot.ID","sites.sitename","plot.name","plot.area","establishment.ID","year.establishment.oldest.trees","regrowth.ID","regrowth.type","regrowth.year","dist.mrs.ID","distmrs.type","mortality","distmrs.year","dist.additional.mrs.ID","prior.history.ID","dist1.ID","dist1.type","dist1.mort","dist1.year","dist2.ID","dist2.type","dist2.mort","dist2.year","additional.dist.ID","management.CO2.ID","management.temperature.ID","management.hydrology.ID","management.nutrients.ID","management.biota.ID","management.other.ID"
1,"4 Rios","Tropical Wet Forest recovery following pasture abandonment","NAC",1.03,"NI",1.02,"Initiation of post-disturbance cohort (natural)","NI",1.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2,"Aakre","Forest recovery following agricultural abandonment","NAC",2.03,"1949",2.02,"Initiation of post-disturbance cohort (natural)","1949",2.01,"Cultivation","100","NAC",0,0,2.04,"Cut","<100%","2008",0,NA,NA,NA,0,0,0,0,0,0,0
3,"Aberfeldy/Griffins","plantation forest","NAC",3.01,"1980",3.02,"Planted","1980",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
4,"Acahual 1","Forest recovery following clear-cut and burn","2",4.04,"1980",4.03,"Initiation of post-disturbance cohort (natural)","1980",4.02,"Burned","100","1980",4.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
5,"Acahual 2","Forest recovery following clear-cut and burn","2",5.04,"1973",5.03,"Initiation of post-disturbance cohort (natural)","1973",5.02,"Burned","100","1972",5.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
6,"Agrovila Grande Esperanca.BR-230","secondary forest established in abandoned pasture","NAC",0,"NAC",6.02,"Initiation of post-disturbance cohort (planted or natural)","NRA",6.01,"Grazed","100","NRA",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
7,"Agua Pudre plot E AGP-01","unmanaged primary forest","1",0,"NAC",0,"NAC","NAC",0,"No disturbance",NA,"NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
8,"Agua Pudre plot U AGP-02","unmanaged primary forest","1",0,"NAC",0,"NAC","NAC",0,"No disturbance",NA,"NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
9,"Aguas Claras","teak plantation","NAC",9.02,"1979",9.01,"Planted","1979",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
10,"Agumbe","Mature Rain forest","0.44",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
11,"Aheden 2","NI","NAC",11.01,"1953",11.02,"Initiation of post-disturbance cohort (planted or natural)","1953",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
12,"Aheden","unmanaged","NAC",12.01,"1815",0,"NAC","NAC",0,"NAC","NAC","NAC",0,0,12.02,"Burned","<100%","NAC",12.03,"Grazed","<100%","NAC",0,0,0,0,0,0,0
13,"Ailao","old-growth subtropical Asian evergreen forest","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
14,"Akou","plantation forest","NAC",14.02,"1987",14.01,"Planted","1987",0,"NAC","NAC","NAC",0,0,14.03,"Cut","NAC","1996",0,NA,NA,NA,0,0,0,0,0,0,0
15,"Alaska - interior","subartic black spruce forest","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
16,"Alaskan coast","Tsuga heterophylla, Chamaecyparis nootkatensis, T. mertensiana","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
17,"Alaska","Picea glauca, P. marina, Populus/Alnus, Betula papyrifera","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
18,"Alatskivi 1","Forest recovery following agricultural abandonment","NAC",18.03,"1995",18.02,"Initiation of post-disturbance cohort (natural)","1995",18.01,"Cultivation","100","NAC",0,0,18.04,"Cut","<100%","NI",0,NA,NA,NA,0,0,0,0,0,0,0
19,"Alatskivi 2","Forest recovery following agricultural abandonment","NAC",19.03,"1977",19.02,"Initiation of post-disturbance cohort (natural)","1977",19.01,"Cultivation","100","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
